,Description,Accident Level
15,the employee reports that he performed his routine activities in the area of electrolysis when when trying to position one of the cathode sheets on the easel it hit his sleeve and caused a cut in the same and superficially in the left hand,0
16,being approximately a m approximately when lifting the kelly hq towards the pulley of the frame to align it the assistant marco that is in the later one is struck the hand against the frame generating the injury,0
17,at a m the deslaminator stops untimely then the operator lowers and locks the machine to verify the failure detecting locking of the sheet between the basket and the manipulator the operator tries to arrange the sheet manually and when pulling the sheet this one cuts the palm of the right hand with the edge of the sheet is referred to the medical center for attention,2
18,in circumstances the drilling assistants proceeded to assemble the inner tube to the barel the injured person retracts the inner tube head to throw it manually towards the top of the catheter inclination to continue with the perforation in that moment the glove of the left hand is hooked in the speart point pushing his left hand until the edge of the box of the barel originating the injury at the time of the accident the injured employee used his rubber gloves and the work area was well lit,2
19,employee was transiting the grs area when he came to slip suffering a twist in his left knee,0
20,on during the soil sampling in the region of sta the employees rafael and danillo da silva were attacked by a bee test they rushed away from the place but the employee rafael took bites one on the chin one on the chest one on the neck and one on the hand over the glove the employee took bites one in his hand over his glove and the other in the head and the employee danillo took bites in the left arm over his uniform at first no one sketched allergy just swelling at the sting site the activity was stopped to evaluate the site after verifying that the test had remained in the line they left the site,0
21,during the unloading operation of the ustulado bag there was a need to unclog the discharge mouth of the silo truck in performing this procedure there was a maneuver of unhooking the hose without the total depressurisation of the mouth projecting ustulado powder in the collaborator caused irritation in the eyes,0
22,at a m mr frank with the support of another mechanic was preparing to place on the floor a metal part called the rear bridge of the forklift at that moment the part moving part moves generating a blow to the middle finger of the left hand,2
23,the operator was willing to manually displace the zinc sheet adhered to the aluminum cathode at the moment when the blade was detached the blade was released from the cathode bending and grazing the collaborator s right hand producing small cuts at the knuckles of the fingers the worker made use of his gloves leather the worker is transferred to the medical unit for first aid,0
24,being am approximately in the nv cx ob the personnel begins the task of unlocking the soquet bolts of the bhb machine when they were in the penultimate bolt they identified that the hexagonal head was worn proceeding mr crist bal auxiliary assistant to climb to the platform to exert pressure with your hand on the dado key to prevent it from coming out of the bolt in those moments two collaborators rotate with the lever in anti clockwise direction leaving the key of the bolt hitting the palm of the left hand causing the injury,0
25,in the tower n of the old kv lt disabled and de energized and dismantled located in the city of pasco the last profiles of the base of the tower previously disassembled were cut using oxyfuel equipment at am the proingcom security supervisor and the foreman who were on the outside of the fenced area supervising the activity indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms during the evacuation of the last employees who were inside the fenced area a loud sound was heard provoking a fright which caused the staff to throw themselves to the floor inside the area then proceeded to leave the work area by his own means through the ladder apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers,0
26,during the execution of the task of assembling the box of testimony boxes in the area of bonsucesso around am orlando research driller geosol trying to fit two parts of the trestles a third piece fell on his hand which was on the piece he held causing a small trauma to his left thumb the employee was referred to s o lucas hospital paracatu ltda and attended and released without leaving work soon after,2
27,in moments that the truck of transport of personnel of the company mceisa plate ajg moved from the nv to surface missing m to reach the mouth of the nv the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who at that time i was traveling in the truck they raise the cabin to manually put the change in first and continue the trip culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck at the time of the accident the employee was wearing his safety helmet and chin strap,0
28,in circumstances in which the adjutant of the scissor bolter came down by the team s ladder last step it slides from an approximate height of m and falls sitting on the floor at the time of the accident the person involved in the use of the helmet there were no rocks or materials in the crash site,0
29,on at p m when assisting with gps in the magnetometric collaborator gilv nio bumped the top of the field hat on a branch and was attacked by maribondos the moths went towards his eyes but due to the use of sunglasses the attack in that region was prevented the insects moved to the side of the face getting caught between the ear and the back of the field hat making the helper get two bites behind the ear gilv nio is allergic to marimbondos bites soon the activity was immediately paralyzed we drove to the car where the accident took his medicine antiallergic already used in other situations out of work indicated by another doctor to avoid further swelling marcelo responsible for the project was also on the field in the mapping activity was called on the radio immediately the assistant felt good but was taken to the emergency of the hospital of lavras do sul where he consulted the doctor took antiallergic and was released around,0
30,on the employee de lima da silva was composing the team of opening of bite to survey of ip the team consisted of one mining technician and three assistants when was moving in the bite he touched his left foot on a stump of tucum that was on the ground covered with dry leaves of vegetation near drainage when he felt the thorn piercing on his foot he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot after removal of the spine the foot was washed and it was verified that there was no other injury after the event the technician waxed the activity and returned to the city of porangatu go it was not necessary to take the employee to the health unit,0
31,the employee when performing the adjustment tightening operation of the cutter blade with which he worked was neglected the key to slip causing the blade of the equipment to hit him causing a blunt cut on his right forearm,1
32,mr jesus operator of the concrete throwing team alpha n was shooting shotcrete in the cx work nv ob applying m he realizes that the additive did not come out in the mix directing to lift the cover of the passage valve cm x cm of inch of thickness approximately kg verifying that the valve was open release the lid and it hits to the third finger of the left hand against the base causing the injury,2
33,during the transit of the fuel tanker of level at level by the north ramp when passing through level the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described at the time of the accident the pilot and co pilot were wearing a safety belt their safety glasses and helmet,0
34,employee reports that when trying to remove one of the plates from the overflow system of the ustulador oven the th finger of the right hand was pressed between the tool wrench with extension and the overflow flange of the ustulador oven located behind the performer,0
35,being a m on the th block of nv ob at the moment that messrs and roger injured cleaned the th drill of the radial mesh that was in an inclined shape in the right gable moment that detaches fragments of rock of x x cm impacting the shoulder,0
36,by loosening the a truck s steering cylinder bolt using power cable and socket with the force exerted in favor of the equipment the bolt suddenly retired and the employee hit his hand against the structure of the equipment causing injury,1
37,while removing the drill rod of the jumbo for maintenance the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo,0
38,during routine slimming activity of the kiln of the battery the employee began to remove the waste inside the crucible with the aid of a skimmer felt pain in the left shoulder,2
39,employee reports that he performed an activity in the area of the ustulaci n under the coordination of maintenance when he was hit by dust from the ustulado causing irritation in the eye region,0
40,at level access a at times when the engineer trainee planamieto entered to verify the amount of split set placed by the scissor in the support holding his notebook and pen in his left hand while inspecting the roof of the work he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury the worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes,0
41,when performing the movement of the bar to make room and place a calibrator mr chuquillanqui pushes the bar with both hands turning it being at that moment imprisoned the middle finger of the left hand against the other bar that was ahead,1
42,during the activity of settling of concrete blocks for the ventilation plug wall in the cx of level in circumstances that the worker made the setting of the union between concrete blocks a polyethylene pipe of diameter was picks up the spike and when it hits it hits the top of the worker s protector,0
43,collaborator was cleaning the sink of the copper repulping area at the moment of filling the truck with the shovel he projects sludge towards the lenses soiling them and obstructing vision the worker indicates that when removing the lenses to clean them some mud particles enter the left eye causing discomfort it is referred to the medical center for the corresponding attention,0
44,in circumstances that the staff was performing the rhyming of caving hw the m hw pipe was suspended approximately cm from the floor the assistant placed the stilson key no on the hw pipe to fit the pipe at a height of cm from the base of the rod holder which the operator operates the chuck to slide this back causing the pipe to slide causing the tip of the fourth finger of the assistant s right hand to be caught between the stilson key and the base of the rod holder at the time of the event the collaborator used all his epps,2
45,when cutting the vegetation to open the bite using a sickle the assistant struck the vine twice when the liana ruptured the top of the branch projected against the face of the auxiliary causing the cut in the upper lip,0
46,in the ddh chamber of the company explomin located at the level socorro ramp when the worker assistant driller was dismantling the fifth drill rod nq meters of steel with a weight of kg using a stilson key no at that moment the operator operates the rotation unit the drill rod rotates by pressing the left hand of the worker against the base of the rod holder causing an injury to the left hand at the time of the accident the drilling assistant used rubber gloves,3
47,once the mooring of the faneles in the detonating cord has been completed the injured person proceeds to tie the detonating cord in the safety guide slow wick at a distance of meters from the top of the work at that moment to finish mooring a rock bank cm x cm x cm kg the same front from a height of meters which falls to the floor very close to the injured disintegrates in several fragments one of which cmx cmx cm kg slides between the fragments of rock and impacts with the left leg of the victim at the time of the accident the operator used his safety boots and was accompanied by a supervisor,0
48,at moments when the maperu truck of plate f t returned from the city of pasco to the unit transporting a consultant being meters from the main gate his lane is invaded by a civilian vehicle making the driver turn sharply to the side right where was staff of the company impromec doing hot melt work in an pipe impacting two collaborators causing the injuries described at the time of the accident the truck was traveling at km h according to inthinc the width of the road is of meters the activity had safety cones as a warning on both sides of the road and employees used their respective epp s,0
49,while preparing the rice for the lunch of the day when moving the pot kg of weight including the contents to evacuate the residual water of the cooking of the rice when positioning the pot on a jaba it tilts backwards spilling some ml of hot water on the cook s leg the cook immediately after the event applies first aid pouring cold water on the area of the injury and go to the medical post for evaluation,0
50,during the execution of the soil sampling task at the potions area around pm luis wca was opening with a machete and was bitten by a wasp on the back of his right hand the same was using at the time of the incident all the epis needed for activity the employee was evaluated by the technician who found it to be a mild and localized swelling wound the employee reported that he did not feel any pain and that he could continue the activity,0
51,during the field trip on lt of the lajes target junior da costa official stepped on a wooden stump that was on the ground approximately cm which pierced his boot wounding the sole of the right foot at the time of the accident the employee was using all the ppe required for the activity and had his hands free the employee was taken to the hospital where he went through medical care and was released to return to his activities the next day of work,1
52,once the topographic survey in the stp east zone the victim and his co worker decide to continue with their work in the stp west for this the injured person walks behind his co worker to meters when arriving at the loading zone intersection rpa and st the injured person asks the sccop operator to stop to pass once the equipment is stopped the victim passes behind his partner stuck to the gable trying to avoid the accumulation of water when he takes the third step into the puddle the injured person steps on the false and falls to the floor causing the injury,0
53,the employee performed insertion and adjustment of the joint in the blind flange of a tubing when one of the wedges shifted causing movement in the flange causing the rd and th fingers of the left hand to be pressed,2
54,during torch cutting activity of the new evaporator treatment fixings there was a rupture of the hose near the torch pen causing the injury,0
55,during the withdrawal the kelly bar conductive bar of kg m of length and cm of diameter of the equipment of perforation on the part of two workers one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar when positioning the bar on the platform they lose control of the bar moving cm with the nd finger of the right hand against the pulleys of the frame at the time of the accident the worker was wearing safety gloves and the drill rig was blocked,0
56,in the area of lloclla meters from the sub station nro under circumstances that the worker was preparing to pick up the rope from the floor several fragments of rock slide down the slope of the hill one of the cm fragments of diameter approximately impacts the face of the worker producing the aforementioned injury,1
57,when entering the caustic soda containment basin to place the hose to make the suction at this stage there was steam formation striking the employee in the right and left calf,0
58,when observing the pulp overflow of the overflow reception drawer of the thickener the filter operator approaches to verify the operation of the c pump making sure that it was stopped so press the keypad to start the pump and not getting the start proceeds to remove the guard and manipulates the motor pump transmission strips being left hand imprisoned between the pulley of motor and transmission belt,3
59,on during the soil sampling in the region of sta the employees rafael and danillo da silva were attacked by a bee test they rushed away from the place but the employee rafael took bites one on the chin one on the chest one on the neck and one on the hand over the glove the employee took bites one in his hand over his glove and the other in the head and the employee danillo took bites in the left arm over his uniform at first no one sketched allergy just swelling at the sting site the activity was stopped to evaluate the site after verifying that the test had remained in the line they left the site,0
60,during the assembly activity of polypropylene pipe with diameter the employee stepped on the pipe flange it twisted his right foot,0
61,employees engaged in the removal of material from the excavation of the well of level using shovel and placing it in the bucket during the day some of this material fell into the pipes of the employees boots and the friction between the boot and the calf caused a superficial injury to the legs,0
62,at the eus bio bridge there was a sudden braking in which several cars had to brake quickly the collaborator s car failed to stop in time and collided with the rear of the car ahead they were about km hour,0
63,in the raise chamber when the operator and assistant removed the drilling bar from the r drilling machine weight approx kg holding it at the top with a tm stroke and assisted with jibs to move horizontally the operator s jib on the bottom slides by moving the top of the drill bar causing the assistant s bar to enforce his assistant s hand between the bar and the piston of the equipment,0
64,after maintenance on boltec at level gts of rampa xxx the mechanic and operator of the equipment performed tests on the equipment magazine when the magazine carousel was turned on the operator had his left middle finger pressed against the equipment frame,0
65,during field trip to return to work after lunch the employee of the wellfield company slipped on the loose stones that were in the place at that moment with the intention of balancing he tried hold onto a tree falling under the right arm causing fracture at the distal end of the radius the activity was paralyzed and the employee was referred to the hospital in paracatu where he underwent medical care,3
66,the employees m rcio and s rgio performed the pump pipe clearing activity fz and during the removal of the suction spool flange bolts there was projection of pulp over them causing injuries,1
67,during the trip to the vehicle at the end of the work the collaborator rhainer stepped on an object that he could not identify thus coming to pierce the sole of the boot and causing a small hole in the sole of the left foot of the collaborator the perforation was possibly due to a stump of wood since the area covered by the collaborator was a pasture grazed recently and near a residence,0
68,when opened the access ladder of the people carrying truck the employee had his right hand pressed into the support bracket of the same suffering a superficial injury,0
69,during the preparation for the scaffolding activity the employee was loading the pieces to the designated place where he had his finger pressed between the metal pieces that were being moved,0
70,the employee reports that he was draining ammonia used as a refrigerant into a container of water when splashes of the solution drained onto his face,0
71,employee reports that when handling the air conditioning pressed the nd right chirodactilo causing a contusion,0
72,while installing a segment of the polyurethane pulley protective lyner x x cm weighing kg on the head pulley of the ore winch when the pulley is rotated to compress the lyner inside the channel it falls from its housing m rubbing the right side of the worker s hip generating the injury described,0
73,the collaborator reports that he was working in the ustulaci n and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel,0
74,during the change of rim position of the jumbo at moments that the mechanical technician with the support of the electrician disengaged the bolts when loosening the fourth nut with the help of a lever metal tube diameter m of length and a weight of kg this bouncing effect returning to the initial position hitting in the palm of the left hand the electrician technician causing the injury the employees at the time of the accident used their ppe s including leather gloves,0
75,in moments when the collaborators carried out the inspection of the conveyor belt no from the tail pulley when they were at the height of the load polymer no the maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley fragmentos mineral fragments are projected towards the access of the ramp impacting the collaborators being evacuated to the medical post,0
76,the employee performed the activity of stripping cathodes when pulling the cathode sheet his hand hit the side of another cathode causing a blunt cut on his nd finger of the left hand,0
77,once the ore loading in the lt locomotive was completed the penultimate car derails th car by the presence of fragment of rock in the railway line weight of the car with mineral tons and to get it back on track the mining car the victim makes use of a metal tube length meters and diameter to maneuver and reposition the mining car at that moment the metallic tube loses stability and imprisons the victim s hand against the strut of the mining car the collaborator at the time of the event towards the use of his leather gloves,2
78,in tower n of the old kv lt disabled and de energized and disassembled located in the city of pasco the cutting of the last profiles of the base of the tower previously disassembled was carried out using oxyfuel equipment at a m the safety supervisor of proingcom and the foreman who were in the external part of the fenced area supervising the activity indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms during the evacuation of the last employees who were inside the fenced area a loud sound was heard provoking a scare which caused the staff to throw themselves to the floor within the area then proceeded to leave the work area by their own means through the staircase apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers,0
79,in circumstances where the employee made the connection of the electric cable of the no jumbo the operator feels discomfort in the face cleaning with the hand while using the rubber glove generating a superficial laceration small wound on the left cheekbone,0
80,at level access a the operator of the scissor performed the support of the crown at which time a piece of rock cmx cmx cm g passes between the cocada of the support mesh from a height of meters towards the platform of the team breaking into particles one of which reaches his right eye causing the injury,0
81,approx hours mr luis maintenance team of mobile equipment adjusted a bolt of the front loader j a at which time his face is impacted by the key used for this activity producing a slight cut in the surface of the face he is transferred to the medical service attended and registered,0
82,the operator was in the center demag iv performing maintenance when transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger left thumb against the pillar of support of the oven specified below figure,0
83,in circumstances that the collaborator performed the cleaning of the ditch cm deep removing the pipe of hdpe material with an estimated weight of kg together with two collaborators when pushing the tube to drain the dune the collaborator is hit on the lower right side lip producing a slight blow to the lip at the time of the event the collaborator had a safety helmet glasses and gloves,0
84,during the discharge of waste the operator proceeds to remove a bag that was under the hose rolled in this circumstance one of the ends of the hose moves in the direction of the face of the driver projecting the liquid contained in it and impacting it on the ear and part of the face,1
85,the safety and technical moved to the field for inspection activity on the way to the field paused together with the other two teams in order to know the drainage points to be checked the safety at getting out of the vehicle was struck by a sting of a weed in his neck quickly returned to the vehicle and made radio communication with the other two teams which distanced themselves from the place the clerk was wearing leggings and glasses there was no allergic reaction,0
86,being am at times when the collaborator was passing a tubo pvc pipe to the loader to uncover the fifth hole that was obstructed by a piece of rock the operator of the jetanol accidentally activates the air valve causing the loading pipe that was in the floor to rise suddenly throwing prils of anfo excess in pipe on the cheekbone and eyelid of the right eye of the victim,1
87,in circumstances that mr efra n osorio felix mina nd he entered the interior of pocket at level before it activated the compressed air gun that is installed in the lower part of the structure with a nozzle that communicates the air lung with the internal part of the pocket projecting a violent flow of air that blows the left leg of the worker and generates a stun by the noise produced,0
88,the worker carried out his work at level stop and placed metal mesh on the basket soil half of the scissor the mesh falls and hits the back of his right hand,0
89,upon entering the mine interior the bodeguero is located only in the litorina n last of the convoy during its displacement the litorina derails and advances approximately meters it is when the operator observes this event and before entering through the entrance gate paralyzes the displacement of the convoy the winemaker had his full epps on,0
90,approximately at a m in circumstances that the messrs of the truck crane and william de la cruz culminated the shipment of blocks of metal plates with an approximate weight of kg mr william de the cross rigger climbs onto the truck to remove the sling places both feet under the stretcher that supported the metal plates at that moment the central part of the stretcher is broken as a result of which the two feet are imprisoned producing the injury,3
91,the employees m rcio and s rgio performed the pump pipe clearing activity fz and during the removal of the suction spool flange bolts there was projection of pulp over them causing injuries,3
92,when performing cleaning activity of the area near the tc grinding the employee was handling a block of triangular shaped rock measuring b cm x h cm x e cm during the movement he lost his balance by falling with the rock on the thumb of his left hand injuring him,2
93,the employee was performing carbon steel pipe marking activity when his helmet was struck by a tube causing a scalp wound due to the impact of the helmet s sheepskin,0
94,inside mine during the diamond drilling of a positive drill in moments when the control tube was rescued with the fisherman the winch cable breaks untimely developing a whiplash effect and impacting on the left hand of the drilling assistant causing the described injury at the time of the accident the drilling assistant was on the platform at m from the frame and was using his hycron type safety gloves,0
95,once the painting of the pumping pipe has been completed the person involved involuntarily touches his face with his hand with gloves full of paint and to clean himself he makes use of a dry industrial cloth and begins to rub his face for a period of time from to seconds continuously until finally the paint on the face is cleaned this friction generates the described injury,0
96,the employee reports that climbing the access ladder to the operating room of the ustulation was surprised by the projection of sulfuric acid,0
97,in the area of equipment inspection while the staff of the atenuz ee trying to remove the hydraulic hammer safety locks of the excavator the mechanical lubricator holds with his right hand a hat type chisel while the equipment mechanic hit the chisel with a pound rubber bump to remove the safety at which point one of the blows falls on the edge of the hat type protector causing it to slip and strike the fourth finger of the lubricant mechanic s right hand generating the described injury at the time of the accident the lubricator mechanic had put on the gloves type pad,0
98,project of vazante that carried out sediment collection of current in the south of mata target in the drainage of serra do garrote team that was composed of members of the wca company being the s r s leandro and jehov nio they were moving from one collection point to another inside a shallow drainage they saw the bee carton the reaction was to move away from the box as quickly as possible to avoid the stings they ran about meters looking for a safe area to exit the radius of attack of the bees but the s s and breno were attacked and consequently they suffered stings in the belly and jehovah in the hand verified that there was no type of allergic reaction returned with the normal activities,0
99,during the maintenance of the locomotive n in the workshop of level the assistant when pulling the locomotive chair backwards stumbles against the ventilation grille falling on the platform of the locomotive and then to the floor of the workshop from a height m generating the injury at the time of the accident the assistant used his safety helmet and chin strap,0
100,employee was performing maintenance on filter press in the filtration area grs when he dismantled the hose clamp in a turning motion he had contact with the burr of the tip of one of the screws that was exposed causing him a cut in his glove and wound in the rd quirodactilo of the left hand,0
101,being at a m approximately the mechanic was removing the last bolt of the nipple in the pump lime feeder reactive area the mechanic is positioned slightly flexing the legs and performs upward force with both hands in that moment feels a pain and a spume in the right thigh the mechanic is evacuated with the help of his colleagues to the medical post,0
102,the ground team coordinated by prospector with his assistants da silva and wila p m in a prong opening to access and collect soil samples auxiliar came across some he tried to divert about meters to the right of the place but at the moment of the diversion he came across the marimbondo house in front of him not giving time for any other action since the thugs were already agitated da silva times a sting in the head another behind the neck and other stings in the face since all have allergy tests it was verified that there was no allergic reaction washed the affected part and returned to normal activities,0
103,in circumstance the ahk license plate empresa which serves the supervision of cma carried out the field inspections in the upper bank when unexpectedly when climbing through the operational access positive ramp it slides in an excavated area of approximately meters high remaining in position with the front part on the floor the occupants of the vehicle made use of the safety belt and all the complete epps,0
104,being approx hrs mr eliseo secondary crushing operator when retiring to his snack finds the gate of the chute of strip open and when approaching to close the gate in that at that moment the operator mr samuel who was on the upper platform coordinates with the operator of the control room the start of strip at that moment the start up product projects a particle x x cm impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of mr eliseo,2
105,the employee was transiting toward the cadmium factory near tank on copper sulphate when acid solution spilled in his direction reaching his legs causing minor burns,0
106,employee assisted in the support of the gate while the other the tying of the canvas in the frame and by pressing the rope so that the canvas stretched the metal structure moved coming out of the wooden support falling and striking against the employee s face causing a cut in the right superciliary,1
107,in circumstances that a dump truck laden with ore entered to unload backwards in a curve in the upper part of via la laquia the operator did not notice the unevenness in the road approximately one meter approaching the edge and overturning the truck on its right side the operator traveled alone in the truck and made use of the safety belt helmet and glasses at the time of the accident during the unloading process there were two squares that were m from the accident site the test of alcohotest to the operator was negative,0
108,team of the vms project performed soil collection on the xix s target with members when the teams were moving from one collection point to another mr fabio was ahead of the team stinging behind robson and manoel da silva near the collection point were surprised by a swarm of bees that was inside a i play near the ground with no visibility in the woods and no hissing noise fabio passed by the stump but robson and manoel da silva were attacked by the bees robson had a sting in his left arm over his uniform and manoel da silva had a prick in his lip as his screen ripped as he tangled in the branches during the escape,0
109,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it due to the movement of the coil the bees were excited realizing the fact the operator turned off the equipment and left the area people passing by were stung,0
110,at level at the entrance of the locomotive workshop the welder proceeds to inspect the mining cars and identifies that the no car has bearing problems informs his partner about this finding and decides to enter the car to the workshop so it operates the swing arm type mona of kg of weight to move the direction of the railway towards the central op is at this moment that pushes the rocker with the weight of his body until his right hand comes in contact with the rock producing the injury described at the time of the accident the worker was wearing the safety gloves of pad,0
111,being pm approximately in nv ob cx mr cesar operator of mine services in an instant that he was picking up the cat position one of the truck crane of plate acl when raising with the right hand the lower part of the cat is indexed the index finger of the left hand between the body of the cylinder valve of the cat and the valve of the turntable that was in the upper part,0
112,when performing the sleeve removal maneuver when the hole was meters deep general da silva pressed only one side of the locking nut of the rods which together with the jack holds the entire weight of the rods in the maneuver as the locking procedure was not effective the weight of the rods was only secured by the steel wire rope of the probe winch at the moment that driller pedro released the brake of the winch the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey caused the sliding of the rods auxiliary was prepared for manual unlocking of the rods holding the faucet key firmly against the probe tower as the composition shifted as the stems slid his hands were shifted downward causing his left hand to strike against the base of the probe tower structure causing cuts to the th and th quirodactyl employee was taken to the hospital where he went through medical care wound was sutured with stitches same was removed for days from his activities,3
113,during the execution of the area cleaning activity using a hoe the employee hit against a fixed metal structure in the area coming to reach the abdomen on the left,1
114,upon approaching the furnace that was in the process of melting the zn ingot it was struck by liquid metal projection,0
115,employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke reaching its hand causing a blunt cut,1
116,the worker yaranga while working with barretilla in stop level while unloading metal mesh on the basket of an ampoloader with his operator juan barretilla is embedded on safety boot reacting immediately the worker removing the limb with force and managing to release the foot but producing a wound on the right foot,2
117,in phase i the operator carried out the removal of inchancanbles of the reciprocating feeder while removing a split set with the support of a rope the staff supports the left hand on the structure of the protection against falling it is at this moment that another split set comes out together with the load and hits on the distal phalanx of the fifth finger of the left hand generating the described injury,2
118,the employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface,0
119,activity maintenance on scaller breaker arm extension cylinder local underground mine level during the removal of the cylinder from the scaller arm when releasing the fixing pin the cylinder came down and bumped into the tool used to press his hand between the tool and the structure of the equipment,0
120,employee reports that he assisted the maintenance activity in tower in electrolysis when he stepped on the grp grid polymer with glass the floor moving causing it to fall the event took place in stages displacement and fall of the floor in the span when receiving the effort employee fall to about m below the grp floor on the side of the gutter below the floor supporting the structure employee fall to the lower level about m below the grp floor,0
